National_Dex,Name,Type_1,Type_2,Total_Base_Stats,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Height_m,Weight_kg,Catch_Rate,Legendary_Status
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,0.7,6.9,45,False
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,1.0,13.0,45,False
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,2.0,100.0,45,False
4,Charmander,Fire,None,309,39,52,43,60,50,65,1,0.6,8.5,45,False
5,Charmeleon,Fire,None,405,58,64,58,80,65,80,1,1.1,19.0,45,False
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,1.7,90.5,45,False
7,Squirtle,Water,None,314,44,48,65,50,64,43,1,0.5,9.0,45,False
8,Wartortle,Water,None,405,59,63,80,65,80,58,1,1.0,22.5,45,False
9,Blastoise,Water,None,530,79,83,100,85,105,78,1,1.6,85.5,45,False
10,Caterpie,Bug,None,195,45,30,35,20,20,45,1,0.3,2.9,255,False
11,Metapod,Bug,None,205,50,20,55,25,25,30,1,0.7,9.9,120,False
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,1.1,32.0,45,False
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,0.3,3.2,255,False
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,0.6,10.0,120,False
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,1.0,29.5,45,False
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,0.3,1.8,255,False
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,1.1,30.0,120,False
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,1.5,39.5,45,False
19,Rattata,Normal,None,253,30,56,35,25,35,72,1,0.3,3.5,255,False
20,Raticate,Normal,None,413,55,81,60,50,70,97,1,0.7,18.5,127,False
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,0.3,2.0,255,False
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,1.2,38.0,90,False
23,Ekans,Poison,None,288,35,60,44,40,54,55,1,2.0,6.9,255,False
24,Arbok,Poison,None,448,60,95,69,65,79,80,1,3.5,65.0,90,False
25,Pikachu,Electric,None,320,35,55,40,50,50,90,1,0.4,6.0,190,False
26,Raichu,Electric,None,485,60,90,55,90,80,110,1,0.8,30.0,75,False
27,Sandshrew,Ground,None,300,50,75,85,20,30,40,1,0.6,12.0,255,False
28,Sandslash,Ground,None,450,75,100,110,45,55,65,1,1.0,29.5,90,False
29,Nidoran♀,Poison,None,275,55,47,52,40,40,41,1,0.4,7.0,235,False
