Team,Championships
Atlanta Hawks,13
BOS,17
Brooklyn Nets,5
Charlotte Hornets,0
Chicago Bulls,7
Cleveland Cavaliers,8
Dallas Mavericks,2
Denver Nuggets,5
Detroit Pistons,11
Golden State Warriors,7
Houston Rockets,2
Indiana Pacers,16
LAL,17
Los Angeles Clippers,12
Memphis Grizzlies,3
Miami Heat,13
Milwaukee Bucks,11
New Orleans Pelicans,15
New York Knicks,4
Oklahoma City Thunder,14
Orlando Magic,15
Philadelphia 76ers,7
Phoenix Suns,7
Portland Trail Blazers,5
Sacramento Kings,6
San Antonio Spurs,6
Toronto Raptors,4
Utah Jazz,7
Washington Wizards,16
