,Player,Pos,Age,Team,Birth Date
0,Alex Abrines,SG,23,Oklahoma City Thunder,1993-08-01
1,Quincy Acy,PF,26,Dallas Mavericks,1990-10-06
2,Quincy Acy,PF,26,Brooklyn Nets,1990-10-06
3,Steven Adams,C,23,Oklahoma City Thunder,1993-07-20
4,Arron Afflalo,SG,31,Sacramento Kings,1985-10-15
5,Ethan Harris,PG,24,LAL,1995-03-12
6,Liam Clark,SF,28,BOS,1991-09-21
7,Noah Baker,PF,21,New York Knicks,1998-11-05
8,Oliver Turner,C,33,Golden State Warriors,1986-01-19
9,Aiden Cooper,SG,27,Houston Rockets,1992-06-30
10,Lucas Allen,PG,22,San Antonio Spurs,1997-04-07
11,Elijah Ward,SF,30,Miami Heat,1989-08-14
12,James Reed,PF,25,Philadelphia 76ers,1994-12-25
13,Benjamin Scott,C,29,Toronto Raptors,1990-02-18
14,Henry King,SG,23,Utah Jazz,1996-07-03
15,Alexander Hill,PG,31,Denver Nuggets,1988-10-29
16,Daniel Green,SF,26,Portland Trail Blazers,1993-05-17
17,Michael Brooks,PF,24,Orlando Magic,1995-01-08
18,Jacob Carter,C,27,Charlotte Hornets,1992-03-24
19,William Perez,SG,21,Atlanta Hawks,1998-09-10
20,Andrew Watson,PG,32,Milwaukee Bucks,1987-11-01
21,Matthew Ross,SF,25,Indiana Pacers,1994-06-16
22,Joseph Diaz,PF,28,Phoenix Suns,1991-04-04
23,Samuel Foster,C,23,Chicago Bulls,1996-12-09
24,David Gonzales,SG,30,Detroit Pistons,1989-07-22
25,Joshua Price,PG,29,New Orleans Pelicans,1990-05-11
26,Gabriel Kelly,SF,22,Cleveland Cavaliers,1997-01-28
27,Ryan Sanders,PF,33,Washington Wizards,1986-10-10
28,Anthony Parker,C,26,Memphis Grizzlies,1993-03-02
29,Christopher Evans,SG,24,Sacramento Kings,1995-08-06
30,John Rodriguez,PG,28,Los Angeles Clippers,1991-12-13
31,Nicholas Morris,SF,21,Brooklyn Nets,1998-05-20
32,Dylan Rivera,PF,31,Dallas Mavericks,1988-09-27
33,Christian Wood,C,27,Oklahoma City Thunder,1992-04-09
34,Jonathan Torres,SG,22,BOS,1997-02-15
35,Jack Bailey,PG,30,New York Knicks,1989-11-03
36,Julian Long,SF,25,Golden State Warriors,1994-01-01
37,Wyatt Patterson,PF,29,Houston Rockets,1990-10-18
38,Isaiah Russell,C,24,San Antonio Spurs,1995-07-26
39,Carter Bell,SG,28,Miami Heat,1991-03-08
40,Owen Griffin,PG,23,Philadelphia 76ers,1996-09-05
41,Leo Hayes,SF,32,Toronto Raptors,1987-12-17
42,Grayson Jenkins,PF,25,Utah Jazz,1994-04-29
43,Isaac Henderson,C,30,Denver Nuggets,1989-06-14
44,Adrian Cole,SG,26,Portland Trail Blazers,1993-11-07
45,Eli Perry,PG,21,Orlando Magic,1998-02-23
46,Asher Washington,SF,27,Charlotte Hornets,1992-08-31
47,Landon Ramirez,PF,31,Atlanta Hawks,1988-05-09
48,Cameron Cox,C,22,Milwaukee Bucks,1997-10-20
49,Hunter Chavez,SG,29,Indiana Pacers,1990-01-27
50,Jeremiah Stewart,PG,24,Phoenix Suns,1995-04-19
51,Aaron Price,SF,28,Chicago Bulls,1991-07-10
52,Jason Reed,PF,21,Detroit Pistons,1998-01-26
53,Caleb Nelson,C,33,New Orleans Pelicans,1986-12-04
54,Colton Gray,SG,27,Cleveland Cavaliers,1992-09-15
55,Jordan Wright,PG,22,Washington Wizards,1997-06-23
56,Tristan Peterson,SF,30,Memphis Grizzlies,1989-10-09
57,Brody Torres,PF,25,Sacramento Kings,1994-03-01
58,Adam Rivera,C,29,Los Angeles Clippers,1990-08-16
59,Xavier James,SG,23,Brooklyn Nets,1996-05-28
60,Evan Sanchez,PG,31,Dallas Mavericks,1988-04-11
61,Justin Flores,SF,26,Oklahoma City Thunder,1993-12-07
62,Zachary Ruiz,PF,24,BOS,1995-02-03
63,Kevin Salazar,C,27,New York Knicks,1992-10-20
64,Nathan Mitchell,SG,21,Golden State Warriors,1998-03-29
65,Eric Morgan,PG,32,Houston Rockets,1987-05-18
66,Shawn Bailey,SF,25,San Antonio Spurs,1994-08-27
67,Ryan Long,PF,28,Miami Heat,1991-01-02
68,Tyler Ward,C,23,Philadelphia 76ers,1996-11-14
69,Blake Murphy,SG,30,Toronto Raptors,1989-04-26
70,Gavin Wood,PG,29,Utah Jazz,1990-07-09
71,Connor Kelly,SF,22,Denver Nuggets,1997-12-06
72,Austin White,PF,33,Portland Trail Blazers,1986-06-13
73,Jaxon Hall,C,26,Orlando Magic,1993-09-24
74,Kaleb Green,SG,24,Charlotte Hornets,1995-11-08
75,Kyle Davis,PG,28,Atlanta Hawks,1991-05-05
76,Devon Martinez,SF,21,Milwaukee Bucks,1998-07-16
77,Preston Brown,PF,31,Indiana Pacers,1988-02-28
78,Wesley Johnson,C,27,Phoenix Suns,1992-08-04
79,Julian Thomas,SG,22,Chicago Bulls,1997-03-09
80,Parker Scott,PG,30,Detroit Pistons,1989-10-31
81,Max Smith,SF,25,New Orleans Pelicans,1994-05-19
82,Bryce Jones,PF,29,Cleveland Cavaliers,1990-01-07
83,Bennett Wilson,C,24,Washington Wizards,1995-09-02
84,Colin Taylor,SG,28,Memphis Grizzlies,1991-06-18
85,Dominic Anderson,PG,23,Sacramento Kings,1996-02-21
86,Finn Miller,SF,32,Los Angeles Clippers,1987-07-27
87,George Moore,PF,25,Brooklyn Nets,1994-11-06
88,Henry Davis,C,30,Dallas Mavericks,1989-02-13
89,Ian Garcia,SG,26,Oklahoma City Thunder,1993-10-04
90,Miles Nelson,PG,21,BOS,1998-04-25
91,Oscar Martinez,SF,27,New York Knicks,1992-09-06
92,Paul Rodriguez,PF,31,Golden State Warriors,1988-11-20
93,Quentin Baker,C,22,Houston Rockets,1997-07-13
94,Ronan Perry,SG,30,San Antonio Spurs,1989-03-23
95,Sean Clark,PG,25,Miami Heat,1994-06-08
96,Troy Walker,SF,29,Philadelphia 76ers,1990-04-14
97,Victor Hall,PF,24,Toronto Raptors,1995-10-01
98,Walter Young,C,28,Utah Jazz,1991-01-11
99,Yusuf King,SG,23,Denver Nuggets,1996-08-19
100,Leo Turner,PG,33,Portland Trail Blazers,1986-05-03
101,Neil Wright,SF,26,Orlando Magic,1993-01-30
102,Peter Adams,PF,24,Charlotte Hornets,1995-12-16
103,Randy Green,C,27,Atlanta Hawks,1992-02-05
104,Sam Johnson,SG,21,Milwaukee Bucks,1998-06-29
105,Todd Lee,PG,32,Indiana Pacers,1987-09-17
106,Frank White,SF,25,Phoenix Suns,1994-02-24
107,Jerry Brown,PF,28,Chicago Bulls,1991-11-09
108,Louis Davis,C,23,Detroit Pistons,1996-04-02
109,Mark Miller,SG,30,New Orleans Pelicans,1989-05-21
110,Mike Wilson,PG,29,Cleveland Cavaliers,1990-12-15
111,Paul Thomas,SF,22,Washington Wizards,1997-08-08
112,Ray Harris,PF,33,Memphis Grizzlies,1986-07-25
113,Steve Martin,C,26,Sacramento Kings,1993-04-17
114,Tom Jackson,SG,24,Los Angeles Clippers,1995-06-06
115,Vince Lee,PG,28,Brooklyn Nets,1991-03-27
116,Wayne Taylor,SF,21,Dallas Mavericks,1998-10-14
117,Zach Miller,PF,31,Oklahoma City Thunder,1988-08-05
118,Chad Cooper,C,27,BOS,1992-01-23
119,Dean Hall,SG,22,New York Knicks,1997-09-19
120,Gary Jones,PG,30,Golden State Warriors,1989-12-02
121,Hugh Young,SF,25,Houston Rockets,1994-10-28
122,Joel Baker,PF,29,San Antonio Spurs,1990-03-03
123,Ken Carter,C,24,Miami Heat,1995-05-15
124,Larry Scott,SG,28,Philadelphia 76ers,1991-02-12
125,Jeff King,PG,23,Toronto Raptors,1996-10-07
126,Kevin White,SF,32,Utah Jazz,1987-06-19
127,Matt Green,PF,25,Denver Nuggets,1994-12-29
128,Nick Adams,C,30,Portland Trail Blazers,1989-09-16
129,Owen Brown,SG,26,Orlando Magic,1993-05-22
130,Ronan Cox,PG,21,Charlotte Hornets,1998-01-01
131,Seth Evans,SF,27,Atlanta Hawks,1992-07-15
132,Tim Foster,PF,31,Milwaukee Bucks,1988-04-03
133,Will Jackson,C,22,Indiana Pacers,1997-02-10
134,Allen Perez,SG,29,Phoenix Suns,1990-06-25
135,Barry Reed,PG,24,Chicago Bulls,1995-08-11
136,Calvin Hayes,SF,28,Detroit Pistons,1991-05-29
137,Damon Cruz,PF,21,New Orleans Pelicans,1998-11-18
138,Earl Torres,C,33,Cleveland Cavaliers,1986-03-06
