s.no,loan_amnt,purpose,int_rate,grade,annual_inc,dti,not_fully_paid
1,5000,credit_card,10.65,B,55000.0,11.2,0
2,2500,debt_consolidation,15.27,C,68000.0,20.2,1
3,2400,small_business,15.96,C,99999.0,8.72,0
4,10000,other,13.49,C,49200.0,20.0,0
5,5000,wedding,7.9,A,115000.0,2.62,0
6,3000,debt_consolidation,18.64,D,48000.0,10.2,1
7,5600,car,21.28,F,40000.0,5.55,1
8,7000,debt_consolidation,15.27,C,78000.0,15.6,0
9,5000,credit_card,13.49,C,65000.0,13.8,0
10,6000,small_business,18.64,D,50000.0,10.9,1
11,4000,home_improvement,12.69,B,70000.0,15.0,0
12,8000,credit_card,13.49,C,85000.0,17.2,0
13,1000,debt_consolidation,15.27,C,45000.0,10.5,1
14,3500,other,10.65,B,60000.0,12.8,0
15,5000,wedding,7.9,A,120000.0,3.0,0
16,2000,car,21.28,F,35000.0,7.1,1
17,7500,debt_consolidation,15.96,C,88000.0,14.5,0
18,5000,credit_card,13.49,C,72000.0,11.0,0
19,10000,small_business,18.64,D,52000.0,10.1,1
20,4500,home_improvement,12.69,B,75000.0,16.0,0
21,5000,credit_card,10.65,B,55000.0,11.2,0
22,2500,debt_consolidation,15.27,C,68000.0,20.2,1
23,2400,small_business,15.96,C,99999.0,8.72,0
24,10000,other,13.49,C,49200.0,20.0,0
25,5000,wedding,7.9,A,115000.0,2.62,0
26,3000,debt_consolidation,18.64,D,48000.0,10.2,1
27,5600,car,21.28,F,40000.0,5.55,1
28,7000,debt_consolidation,15.27,C,78000.0,15.6,0
29,5000,credit_card,13.49,C,65000.0,13.8,0
30,6000,small_business,18.64,D,50000.0,10.9,1
